,AUROC-250,AUPR-250,AUROC-500,AUPR-500,AUROC-750,AUPR-750,AUROC-1000,AUPR-1000,AUROC-1250,AUPR-1250,AUROC-1500,AUPR-1500,AUROC-1750,AUPR-1750,AUROC-2000,AUPR-2000
tigress,0.679242396073903,0.25826933850681494,0.683728191878368,0.27362089335038253,0.684353928021555,0.28246238765291615,0.6889416676289454,0.28762355282728724,0.6896542330638953,0.29200573740240515,0.6911711239414934,0.29535612319071725,0.6916826520400309,0.29801338914284126,0.6919955109699769,0.2998549868661658
genie3,0.7039895342571209,0.3344858839135624,0.7096126578137029,0.3588086097427919,0.7144800404157043,0.36603570517811745,0.7138858314087759,0.3708431166192132,0.7170446920708238,0.3749642329661185,0.7189738568129331,0.37957778260614017,0.7202726943802926,0.38191901216839136,0.7216168629715165,0.3842683717969656
inferelator,0.5732963067744419,0.15655758106558124,0.6009699903772132,0.20968007068543196,0.6178907736720554,0.24311282300993417,0.6296114636258661,0.2655382454114598,0.6349602155504236,0.27488672676560755,0.6407212692455737,0.2849243226357994,0.6466821449191686,0.29680851170095324,0.6530204638183218,0.30912087629138785
RankAvg-Sorted,0.6386094110854503,0.03730465005062226,0.6762854541955351,0.0599818992400966,0.6854879080061587,0.07534268351375406,0.6938170996920708,0.09321222529594753,0.7338758035026944,0.13032533519886713,0.7233263596997691,0.15088764131231347,0.7294764001154734,0.17883571584831176,0.7363665627405697,0.2124104291602386
RankAvg-Reciprocal,0.7645117898383371,0.22031566222763999,0.7839336528098537,0.2652749245076733,0.8017269774826791,0.33070237707253425,0.8098329532332564,0.35004886808184393,0.817380662047729,0.3715542807548196,0.8215631331793686,0.3920296508947303,0.8249777424942264,0.4196563776763539,0.8296439732486528,0.4382687873616161
RankAvg-ScaleSum,0.759909453425712,0.35016560058987467,0.7825789819091609,0.4046886187680078,0.7961704965357967,0.4343637802790895,0.7992445227097766,0.4394215648972059,0.8064718244803695,0.4511334494028759,0.807269961508853,0.45747048745676383,0.8056024268668206,0.4681854642278825,0.8090985758275597,0.4745564565713486
ScaleSum-11,0.7475523783922005,0.1458525245168149,0.7668828472293076,0.17163837095960152,0.7800846285649756,0.1981559278486699,0.7818162986097983,0.1962737891913271,0.7858970860007598,0.20553441275063997,0.7865683180951865,0.2085804905550897,0.7875543557111602,0.20886837174496314,0.789640405572306,0.21174157364849566
ScaleLSum-11,0.6144998856766191,0.015357897437114685,0.6195195887567922,0.01445533736920575,0.6192787866510218,0.018822528568090104,0.6258799765522703,0.018200526938701323,0.6371518250974157,0.019972595575698596,0.6531998524616329,0.01992973319601301,0.676128689018842,0.016574930396438592,0.7140959705291705,0.019491733252389544
Top7-ENGRAIN,0.762884123849124,0.5510310733812818,0.7970246933471933,0.5985334173958512,0.8099783100683101,0.6254989238227502,0.8191293774131273,0.6363351957948752,0.830578228021978,0.6557196555230647,0.8381363142263142,0.6704409614983841,0.8449768102168103,0.6755478175236616,0.8460536534749036,0.6857590007802328
Top7-STD_ENGRAIN,0.016407733339726602,0.030268384774420252,0.018994492831512198,0.02523508729413296,0.014632311491326303,0.02987399975418112,0.012154608217158702,0.02544587392339195,0.014749355846722144,0.02621142838090054,0.012721849507527775,0.021018544122309454,0.01641600574500319,0.022253611347658145,0.012607007420447085,0.023624951771371
Top7-clr,0.779940085642802,0.3715955237574048,0.8053605484988453,0.4006919308971031,0.8195719957659737,0.41444145827663303,0.8295298229407236,0.42203309852282805,0.836131454965358,0.42819500273798766,0.8402800971901462,0.43198833977955287,0.8423186932255581,0.4360501969998257,0.8452145679368746,0.43873091798823277
Top7-grnboost,0.7130106216320247,0.2892740561413956,0.7529979387990763,0.3344411779878359,0.7597152424942264,0.34977333451905784,0.7684490338722094,0.36189468680784403,0.7998038895304083,0.3844087730017867,0.8067621304849887,0.39272626055322896,0.814101012317167,0.39834496525511154,0.8162518851039262,0.4038318354745077
